#,Date Time,precipitation Counts (#),Temp (°C) c:2,RH (%) c:3,Wind Speed (m/s) c:5,Gust Speed (m/s) c:6,Wind Direction (ø) c:7,Pressure (mbar) c:8,Water Content (m³/m³) c:9,Batt (V)
1,05/02/12 15:16:37,,29.540,56.700,1.11,4.64,174.1,974.050,0.2104,4.442
2,05/02/12 15:31:37,0.00,29.690,54.400,1.67,5.57,139.0,973.750,0.2095,4.363
3,05/02/12 15:46:37,0.00,29.890,53.700,2.23,5.20,172.7,973.450,0.2092,4.418
4,05/02/12 16:01:37,0.00,29.665,53.700,2.04,5.38,179.7,973.250,0.2109,4.369
5,05/02/12 16:16:37,0.00,29.490,54.400,2.60,5.75,179.7,973.150,0.2117,4.424
6,05/02/12 16:31:37,0.00,29.840,53.700,0.74,4.64,174.1,972.950,0.2122,4.369
7,05/02/12 16:46:37,0.00,30.243,52.300,1.30,5.38,162.9,972.750,0.2131,4.442
8,05/02/12 17:01:37,0.00,30.343,50.900,1.67,5.57,164.3,972.550,0.2122,4.381
9,05/02/12 17:16:37,0.00,30.748,50.700,1.11,5.01,167.1,972.450,0.2122,4.363
10,05/02/12 17:31:37,0.00,30.697,50.000,0.93,5.20,154.4,972.450,0.2126,4.393
11,05/02/12 17:46:37,0.00,30.621,49.600,0.00,4.08,178.3,972.550,0.2134,4.363
12,05/02/12 18:01:37,0.00,29.515,52.400,0.93,5.20,172.7,972.350,0.2117,4.393
13,05/02/12 18:16:37,0.00,29.665,53.000,0.00,0.74,178.3,972.250,0.2122,4.363
14,05/02/12 18:31:37,0.00,29.916,52.900,0.00,0.00,162.9,972.450,0.2122,4.381
15,05/02/12 18:46:37,0.00,29.790,52.700,0.00,0.00,171.3,972.250,0.2122,4.363
16,05/02/12 19:01:37,0.00,29.565,53.000,0.00,0.00,162.9,972.450,0.2131,4.363
17,05/02/12 19:16:37,0.00,29.389,53.400,0.00,0.00,150.2,972.450,0.2122,4.381
18,05/02/12 19:31:37,0.00,28.990,54.500,0.00,0.00,148.8,972.450,0.2117,4.363
19,05/02/12 19:46:37,0.00,28.617,55.300,0.00,0.00,134.8,972.350,0.2117,4.369
20,05/02/12 20:01:37,0.00,28.097,56.800,0.00,0.00,133.4,972.450,0.2117,4.357
21,05/02/12 20:16:37,0.00,27.653,58.500,0.00,0.00,120.7,972.650,0.2117,4.351
22,05/02/12 20:31:37,0.00,27.308,59.600,0.00,0.00,124.9,972.850,0.2117,4.345
23,05/02/12 20:46:37,0.00,26.793,61.400,0.00,0.00,129.2,972.950,0.2117,4.339
24,05/02/12 21:01:37,0.00,26.891,62.200,0.00,0.00,126.4,973.050,0.2117,4.339
25,05/02/12 21:16:37,0.00,25.501,66.700,0.00,0.00,124.9,973.450,0.2117,4.339
26,05/02/12 21:31:37,0.00,25.987,65.700,0.00,0.00,115.1,973.550,0.2117,4.339
27,05/02/12 21:46:37,0.00,25.428,67.500,0.00,0.00,144.6,973.650,0.2112,4.339
28,05/02/12 22:01:37,0.00,26.695,63.200,0.37,3.90,141.8,973.850,0.2112,4.339
29,05/02/12 22:16:37,0.00,26.598,64.500,1.86,4.64,155.8,974.250,0.2112,4.339
30,05/02/12 22:31:37,0.00,26.353,66.400,1.86,4.82,158.6,974.350,0.2109,4.339
31,05/02/12 22:46:37,0.00,25.963,69.900,2.78,5.20,169.9,974.750,0.2109,4.339
32,05/02/12 23:01:37,0.00,25.647,71.600,3.34,5.75,175.5,974.650,0.2109,4.339
33,05/02/12 23:16:37,0.00,25.113,75.100,3.53,6.86,182.5,975.250,0.2112,4.333
34,05/02/12 23:31:37,0.00,24.702,77.200,3.53,6.86,174.1,975.350,0.2109,4.333
35,05/02/12 23:46:37,0.00,24.388,78.800,3.34,5.38,176.9,975.150,0.2109,4.333
36,05/03/12 00:01:37,0.00,24.050,80.100,2.60,4.27,167.1,975.350,0.2109,4.333
37,05/03/12 00:16:37,0.00,23.809,81.200,3.15,5.94,164.3,975.350,0.2109,4.333
38,05/03/12 00:31:37,0.00,23.497,82.300,3.34,6.68,164.3,975.150,0.2109,4.333
39,05/03/12 00:46:37,0.00,23.232,83.100,4.08,6.31,164.3,974.950,0.2109,4.333
40,05/03/12 01:01:37,0.00,22.992,83.900,3.71,6.12,161.5,974.950,0.2104,4.333
41,05/03/12 01:16:37,0.00,22.753,84.300,3.53,6.49,165.7,974.650,0.2109,4.333
42,05/03/12 01:31:37,0.00,22.609,85.000,2.97,5.38,165.7,974.850,0.2104,4.333
43,05/03/12 01:46:37,0.00,22.441,85.900,2.97,5.57,175.5,975.050,0.2109,4.345
44,05/03/12 02:01:37,0.00,22.369,86.200,2.04,4.45,162.9,974.950,0.2104,4.333
45,05/03/12 02:16:37,0.00,22.250,86.800,2.60,5.01,160.0,974.750,0.2109,4.333
46,05/03/12 02:31:37,0.00,22.178,87.400,2.97,5.20,164.3,974.550,0.2104,4.333
47,05/03/12 02:46:37,0.00,22.082,88.500,2.60,5.01,165.7,974.250,0.2104,4.327
48,05/03/12 03:01:37,0.00,21.987,89.400,3.34,5.38,160.0,973.850,0.2104,4.327
49,05/03/12 03:16:37,0.00,22.011,89.700,2.97,5.57,169.9,974.150,0.2104,4.321
50,05/03/12 03:31:37,0.00,22.058,90.000,3.15,5.57,181.1,974.750,0.2104,4.321
51,05/03/12 03:46:37,0.00,22.034,90.200,1.67,4.82,188.1,974.550,0.2104,4.321
52,05/03/12 04:01:37,0.00,22.058,90.500,1.48,3.71,186.7,974.650,0.2104,4.321
53,05/03/12 04:16:37,0.00,22.130,90.200,2.04,3.53,188.1,974.650,0.2104,4.321
54,05/03/12 04:31:37,0.00,22.178,90.200,2.23,4.08,189.5,974.850,0.2104,4.321
55,05/03/12 04:46:37,0.00,22.226,89.700,2.23,4.08,190.9,974.750,0.2104,4.321
56,05/03/12 05:01:37,0.00,22.202,89.100,2.78,5.20,185.3,974.750,0.2100,4.321
57,05/03/12 05:16:37,0.00,22.178,89.200,2.41,5.38,185.3,974.650,0.2104,4.321
58,05/03/12 05:31:37,0.00,22.130,89.100,1.86,4.08,186.7,974.750,0.2100,4.321
59,05/03/12 05:46:37,0.00,22.106,88.500,2.78,4.82,186.7,974.850,0.2100,4.321
60,05/03/12 06:01:37,0.00,21.987,88.000,2.97,6.12,188.1,975.050,0.2100,4.321
61,05/03/12 06:16:37,0.00,21.939,88.200,2.78,5.01,188.1,975.250,0.2100,4.321
62,05/03/12 06:31:37,0.00,21.963,88.200,2.04,4.82,205.0,975.450,0.2100,4.321
63,05/03/12 06:46:37,0.00,22.011,88.500,2.41,6.68,198.0,975.650,0.2100,4.321
64,05/03/12 07:01:37,0.00,22.058,88.800,2.41,5.20,189.5,975.650,0.2100,4.321
65,05/03/12 07:16:37,0.00,22.130,88.900,2.23,4.82,198.0,975.950,0.2100,4.321
66,05/03/12 07:31:37,0.00,22.178,88.100,1.86,4.64,196.5,976.150,0.2100,4.339
67,05/03/12 07:46:37,0.00,22.178,87.700,2.23,5.20,205.0,976.250,0.2100,4.363
68,05/03/12 08:01:37,0.00,22.082,87.900,2.23,4.82,200.8,976.450,0.2100,4.393
69,05/03/12 08:16:37,0.00,22.345,87.800,2.23,5.57,196.5,976.550,0.2095,4.363
70,05/03/12 08:31:37,0.00,22.561,86.200,2.23,4.45,199.4,976.650,0.2095,4.393
71,05/03/12 08:46:37,0.00,23.400,82.700,2.97,6.12,186.7,976.550,0.2095,4.363
72,05/03/12 09:01:37,0.00,23.665,81.800,3.15,5.38,189.5,976.650,0.2095,4.412
73,05/03/12 09:16:37,0.00,23.665,80.700,3.15,5.75,185.3,976.650,0.2095,4.381
74,05/03/12 09:31:37,0.00,24.243,79.100,2.97,5.01,188.1,976.750,0.2092,4.442
75,05/03/12 09:46:37,0.00,24.363,78.100,1.48,4.64,200.8,976.750,0.2092,4.393
76,05/03/12 10:01:37,0.00,25.914,74.400,1.67,4.08,198.0,976.650,0.2092,4.363
77,05/03/12 10:16:37,0.00,24.508,77.000,2.23,4.82,179.7,976.850,0.2087,4.393
78,05/03/12 10:31:37,0.00,25.355,74.200,2.97,5.38,176.9,976.550,0.2092,4.369
79,05/03/12 10:46:37,0.00,25.890,73.100,1.86,4.64,179.7,976.650,0.2092,4.418
80,05/03/12 11:01:37,0.00,25.939,70.500,2.23,5.01,172.7,976.850,0.2087,4.381
81,05/03/12 11:16:37,0.00,26.622,66.800,2.78,5.57,176.9,976.650,0.2087,4.460
82,05/03/12 11:31:37,0.00,26.867,65.900,2.78,6.12,174.1,976.750,0.2083,4.393
83,05/03/12 11:46:37,0.00,27.382,65.600,2.97,5.75,188.1,976.550,0.2092,4.363
84,05/03/12 12:01:37,0.00,27.284,65.700,2.97,5.75,182.5,976.450,0.2095,4.393
85,05/03/12 12:16:37,0.00,28.295,61.900,2.23,5.38,182.5,976.250,0.2092,4.363
86,05/03/12 12:31:37,0.00,28.692,61.800,2.41,6.86,172.7,976.050,0.2095,4.412
87,05/03/12 12:46:37,0.00,29.640,58.200,2.23,6.12,192.3,975.850,0.2083,4.369
88,05/03/12 13:01:37,0.00,30.016,57.200,1.67,6.86,176.9,975.650,0.2087,4.430
89,05/03/12 13:16:37,0.00,29.365,58.200,1.48,6.31,192.3,975.750,0.2078,4.381
90,05/03/12 13:31:37,0.00,29.490,56.700,1.30,7.24,181.1,975.750,0.2083,4.357
91,05/03/12 13:46:37,0.00,30.596,56.100,0.74,7.05,202.2,975.550,0.2087,4.393
92,05/03/12 14:01:37,0.00,30.217,56.700,1.30,5.57,193.7,975.550,0.2092,4.363
93,05/03/12 14:16:37,0.00,31.001,54.500,0.93,4.45,190.9,975.250,0.2092,4.393
94,05/03/12 14:31:37,0.00,30.621,54.100,2.23,6.31,168.5,975.150,0.2095,4.363
95,05/03/12 14:46:37,0.00,31.204,53.200,0.74,5.57,165.7,974.950,0.2095,4.442
96,05/03/12 15:01:37,0.00,31.996,51.600,1.86,7.05,162.9,974.850,0.2100,4.393
97,05/03/12 15:16:37,0.00,32.278,50.700,1.11,5.57,185.3,974.650,0.2104,4.363
98,05/03/12 15:31:37,0.00,31.663,51.300,1.48,6.12,179.7,974.450,0.2100,4.393
99,05/03/12 15:46:37,0.00,31.484,51.300,1.86,6.68,182.5,974.150,0.2100,4.363
100,05/03/12 16:01:37,0.00,32.613,48.700,1.67,6.68,165.7,973.950,0.2104,4.393
101,05/03/12 16:16:37,0.00,31.868,48.800,1.86,6.31,172.7,973.750,0.2117,4.363
102,05/03/12 16:31:37,0.00,32.124,47.900,2.23,6.49,181.1,973.550,0.2112,4.400
103,05/03/12 16:46:37,0.00,31.816,49.200,2.60,7.42,174.1,973.350,0.2122,4.363
104,05/03/12 17:01:37,0.00,32.484,47.900,1.86,7.98,178.3,973.050,0.2122,4.406
105,05/03/12 17:16:37,0.00,32.278,47.100,2.41,7.05,171.3,972.750,0.2122,4.363
106,05/03/12 17:31:37,0.00,31.919,49.300,1.86,6.12,175.5,972.650,0.2112,4.400
107,05/03/12 17:46:37,0.00,31.561,49.700,0.74,6.49,157.2,973.050,0.2109,4.363
108,05/03/12 18:01:37,0.00,31.816,48.500,1.11,6.12,141.8,973.050,0.2112,4.393
109,05/03/12 18:16:37,0.00,31.586,48.500,1.48,6.86,151.6,973.050,0.2112,4.363
110,05/03/12 18:31:37,0.00,31.510,48.700,1.86,5.75,165.7,973.550,0.2112,4.369
111,05/03/12 18:46:37,0.00,31.306,49.600,2.41,6.49,164.3,973.650,0.2117,4.381
112,05/03/12 19:01:37,0.00,31.052,51.300,0.37,5.01,155.8,973.850,0.2117,4.363
113,05/03/12 19:16:37,0.00,30.798,52.100,1.48,5.01,150.2,973.750,0.2117,4.393
114,05/03/12 19:31:37,0.00,30.419,52.800,1.67,5.57,157.2,974.350,0.2117,4.363
115,05/03/12 19:46:37,0.00,30.091,54.100,1.30,5.57,155.8,974.550,0.2117,4.393
116,05/03/12 20:01:37,0.00,29.665,55.900,2.04,5.57,155.8,974.650,0.2117,4.363
117,05/03/12 20:16:37,0.00,29.115,58.100,1.86,4.64,144.6,975.050,0.2112,4.351
118,05/03/12 20:31:37,0.00,28.841,59.400,0.37,4.27,146.0,975.050,0.2112,4.345
119,05/03/12 20:46:37,0.00,28.320,62.200,2.41,5.38,150.2,975.350,0.2112,4.339
120,05/03/12 21:01:37,0.00,27.875,64.300,3.34,6.31,157.2,975.950,0.2112,4.339
121,05/03/12 21:16:37,0.00,27.505,65.700,3.15,6.68,164.3,976.650,0.2112,4.339
122,05/03/12 21:31:37,0.00,27.087,67.400,2.97,6.12,164.3,976.850,0.2112,4.339
123,05/03/12 21:46:37,0.00,26.720,68.900,3.71,6.49,160.0,977.150,0.2109,4.339
124,05/03/12 22:01:37,0.00,26.353,70.500,3.34,5.94,167.1,977.250,0.2109,4.339
125,05/03/12 22:16:37,0.00,26.085,72.000,3.15,7.05,164.3,977.850,0.2109,4.339
126,05/03/12 22:31:37,0.00,25.768,73.700,3.34,5.94,161.5,977.750,0.2109,4.339
127,05/03/12 22:46:37,0.00,25.380,75.500,2.97,5.94,155.8,977.450,0.2109,4.339
128,05/03/12 23:01:37,0.00,25.065,76.900,2.97,5.94,157.2,977.150,0.2112,4.339
129,05/03/12 23:16:37,0.00,24.750,78.200,3.34,6.31,155.8,977.050,0.2109,4.333
130,05/03/12 23:31:37,0.00,24.532,79.200,2.97,5.38,155.8,977.350,0.2109,4.333
131,05/03/12 23:46:37,0.00,24.339,79.600,2.60,5.94,150.2,976.950,0.2104,4.333
132,05/04/12 00:01:37,0.00,24.074,80.200,2.78,5.20,151.6,977.050,0.2109,4.333
133,05/04/12 00:16:37,0.00,23.809,81.000,2.78,5.57,162.9,977.450,0.2104,4.333
134,05/04/12 00:31:37,0.00,23.617,80.800,3.71,6.86,162.9,977.550,0.2104,4.333
